id,cols_1,cols_2,cols_3,cols_4,cols_5,cols_6,cols_7,cols_8,cols_9,cols_10,cols_11,cols_12,cols_13,cols_14,True_value
Id_9761,E,10.2,False,True,8.88,X,type_1,17.28,53693.0,1.428571429,-27.828,,False,D,113094.4584
Id_3159,D,9.8,False,True,,X,type_0,,16284.0,,-34.785,4.08882717,True,D,125632.584
Id_1489,E,9.0,False,,,,,,148072.0,1.428571429,-27.828,,True,B,62800.584
Id_2987,B,10.2,False,True,10.36,Z,type_2,18.96,24833.0,1.428571429,-27.828,5.488589937,False,A,244714.932
Id_812,B,9.8,False,True,9.25,X,type_1,,,1.428571429,-27.828,4.08882717,False,,81647.0424
Id_1882,H,,True,False,7.4,W,type_0,16.56,,1.428571429,-13.914,1.834008086,False,C,120825.936
Id_9267,B,10.2,False,True,9.25,X,type_3,11.28,59156.0,1.428571429,-34.785,,False,C,144475.9008
Id_4936,E,9.4,False,True,8.88,,,18.24,195312.0,1.428571429,-27.828,4.08882717,False,A,103641.384
Id_9935,C,8.6,False,True,9.25,,type_1,22.8,213012.0,2.142857143,,4.08882717,True,A,25129.6584
Id_1940,D,9.8,,True,7.4,Y,type_0,19.92,55221.0,1.428571429,-27.828,5.488589937,False,A,144482.184
Id_3296,J,10.0,False,True,,X,type_1,18.96,34806.0,1.428571429,,4.08882717,,B,93933.84
Id_3534,H,10.6,True,True,9.25,Y,type_1,21.12,7.0,1.428571429,,5.488589937,True,D,235268.1408
Id_4525,G,8.8,False,False,7.4,,type_1,20.16,200589.0,,-27.828,4.08882717,True,B,31412.8584
Id_3729,C,6.8,False,True,12.95,X,type_0,26.88,257222.0,2.142857143,-27.828,4.08882717,False,A,21956.6424
Id_7015,F,9.4,False,True,5.55,X,type_1,,52130.0,1.428571429,-34.785,4.08882717,False,C,72253.6584
Id_1612,E,9.4,False,True,11.84,Z,type_2,21.6,104159.0,1.428571429,,5.488589937,False,D,131695.872
Id_1181,,9.4,False,True,22.94,W,type_0,28.32,68500.0,2.857142857,,4.08882717,False,C,183626.52
Id_1375,D,8.6,False,,11.1,Y,type_2,17.76,174061.0,2.142857143,-27.828,4.08882717,True,A,71904.9408
Id_9224,H,8.2,False,False,9.25,X,type_1,19.92,107500.0,1.428571429,-27.828,4.08882717,,C,43950.984
Id_3946,C,8.4,False,True,9.25,Z,type_1,,140519.0,1.428571429,-27.828,4.08882717,,,47092.584
Id_7210,F,9.4,False,True,11.84,W,type_2,20.16,97448.0,1.785714286,-27.828,4.08882717,False,B,116207.784
Id_5211,B,10.6,True,True,9.25,,type_3,11.52,,1.428571429,-34.785,4.08882717,False,,132104.28
Id_63,F,,False,False,5.92,X,type_2,8.88,109500.0,1.428571429,-34.785,,False,C,37369.332
Id_626,B,9.6,False,True,10.36,Z,type_2,20.4,82798.0,1.428571429,-27.828,4.08882717,True,A,157048.584
Id_4421,B,10.4,False,True,10.36,,type_2,18.96,22925.0,1.428571429,-27.828,4.08882717,False,,254431.9008
Id_1669,J,10.2,False,True,5.92,X,type_1,16.32,34866.0,,-27.828,4.08882717,False,C,112745.7408
Id_2112,G,,False,True,6.66,X,type_1,,26875.0,1.428571429,,4.08882717,True,D,62558.6808
Id_5804,D,9.8,False,True,,Y,type_0,17.28,23889.0,1.428571429,-34.785,4.08882717,False,C,167635.776
Id_9763,,8.8,False,True,7.4,X,type_1,20.16,74978.0,1.428571429,-27.828,4.08882717,False,A,59567.8776
Id_4032,H,9.6,False,True,5.55,X,type_1,11.76,23600.0,1.428571429,-34.785,4.08882717,False,C,47120.8584
Id_6545,G,10.4,True,True,8.14,Y,type_2,14.64,16.0,1.428571429,-27.828,5.488589937,,,164886.876
Id_7948,F,9.8,False,True,11.84,Z,type_2,21.36,,1.785714286,-27.828,4.08882717,True,A,141340.584
Id_84,H,9.4,False,True,8.14,Y,type_2,14.4,148815.0,1.428571429,-27.828,4.08882717,True,,78445.752
Id_9180,E,9.8,False,True,5.55,X,type_1,17.52,57408.0,1.428571429,-27.828,4.08882717,False,B,94090.92
Id_1462,A,9.2,False,True,7.77,W,type_2,10.8,98861.0,1.428571429,-27.828,4.08882717,True,D,125035.68
Id_2283,H,9.2,False,True,8.14,Y,type_2,13.68,96279.0,1.428571429,-27.828,4.08882717,True,C,71628.48
Id_2887,D,10.4,False,True,7.4,Y,,,14418.0,1.428571429,-27.828,4.08882717,False,A,167202.2352
Id_5834,C,9.0,False,True,,X,type_0,23.76,89000.0,2.142857143,,5.488589937,False,A,74983.7088
Id_684,B,10.6,False,True,7.4,X,type_1,14.4,,1.428571429,,4.08882717,,C,113003.352
Id_4469,F,9.8,False,True,11.84,Z,type_2,19.68,166220.0,1.785714286,-27.828,3.363585661,True,,109798.92
Id_418,B,9.6,False,True,10.36,Z,type_2,19.2,150419.0,1.428571429,-27.828,5.488589937,False,,182181.384
Id_5228,A,9.6,False,True,7.4,Y,type_0,,52045.0,1.428571429,-27.828,4.08882717,True,,203537.9808
Id_4253,D,9.0,False,,4.44,,type_0,11.76,124810.0,1.428571429,-34.785,4.08882717,True,A,43979.2584
Id_2709,H,,False,True,13.69,X,type_1,26.4,187875.0,2.142857143,-27.828,,False,A,49319.9784
Id_2357,E,9.6,False,False,8.88,Z,type_2,17.28,192200.0,1.428571429,,4.08882717,True,,87933.384
Id_8059,F,9.6,False,True,11.84,Z,type_2,20.88,159175.0,1.785714286,-27.828,4.08882717,False,C,144482.184
Id_1366,I,8.8,False,True,22.2,W,type_0,35.04,119516.0,2.857142857,-27.828,4.08882717,False,A,118972.392
